1068;AYAM NANKING;AYM NANKING (B);43000;Y;N;Y;System;System;2015-03-19;2015-03-19
1069;AYAM GORENG KERING;AYM GR KRING (B);41000;Y;N;Y;System;System;2015-03-19;2015-03-19
1070;BISTIK AYAM;BSTK AYM (B);40000;Y;N;Y;System;System;2015-03-19;2015-03-19
1071;PUYUNG HAI;PY HAI (B);36000;Y;N;Y;System;System;2015-03-19;2015-03-19
1072;UDANG GORENG MENTEGA;UDG GR MTG (B);44000;Y;N;Y;System;System;2015-03-19;2015-03-19
1073;UDANG GORENG TEPUNG;UDG GR TPG (B);42000;Y;N;Y;System;System;2015-03-19;2015-03-19
1074;CUMI GORENG TEPUNG;CM GR TPG (B);41000;Y;N;Y;System;System;2015-03-19;2015-03-19
1075;CUMI GORENG MENTEGA;CM GR MTG (B);43000;Y;N;Y;System;System;2015-03-19;2015-03-19
1076;BASO KUAH;BSO KUAH (B);19000;Y;N;Y;System;System;2015-03-19;2015-03-19
1077;BASO PANGSIT KUAH;BSO PGST KUAH (B);19000;Y;N;Y;System;System;2015-03-19;2015-03-19
1078;PANGSIT KUAH;PGST KUAH (B);19000;Y;N;Y;System;System;2015-03-19;2015-03-19
1079;PANGSIT GORENG;PGST GR (B);19000;Y;N;Y;System;System;2015-03-19;2015-03-19
2001;MIE GORENG;MIE GR (S);27000;Y;N;Y;System;System;2015-03-19;2015-03-19
2002;MIE GORENG SEAFOOD;MIE GR SF (S);29000;Y;N;Y;System;System;2015-03-19;2015-03-19
2003;MIE GORENG UDANG;MIE GR UDG (S);29000;Y;N;Y;System;System;2015-03-19;2015-03-19
2004;MIE MASAK;MIE MSK (S);28000;Y;N;Y;System;System;2015-03-19;2015-03-19
2005;MIE MASAK SEAFOOD;MIE MSK SF (S);30000;Y;N;Y;System;System;2015-03-19;2015-03-19
2006;MIE CAP CAY;MIE CCY (S);28000;Y;N;Y;System;System;2015-03-19;2015-03-19
2007;MIE CAP CAY SEAFOOD;MIE CCY SF (S);30000;Y;N;Y;System;System;2015-03-19;2015-03-19
2008;IFU MIE;IFU MIE (S);29000;Y;N;Y;System;System;2015-03-19;2015-03-19
2009;IFU MIE SEAFOOD;IFU MIE SF (S);31000;Y;N;Y;System;System;2015-03-19;2015-03-19
2010;BIHUN GORENG;BHN GR (S);27000;Y;N;Y;System;System;2015-03-19;2015-03-19
2011;BIHUN GORENG SEAFOOD;BHN GR SF (S);29000;Y;N;Y;System;System;2015-03-19;2015-03-19
2012;BIHUN GORENG UDANG;BHN GR UDG (S);29000;Y;N;Y;System;System;2015-03-19;2015-03-19
2013;BIHUN MASAK;BHN MSK (S);28000;Y;N;Y;System;System;2015-03-19;2015-03-19
2014;BIHUN MASAK SEAFOOD;BHN MSK SF (S);30000;Y;N;Y;System;System;2015-03-19;2015-03-19
2015;BIHUN CAP CAY;BHN CCY (S);28000;Y;N;Y;System;System;2015-03-19;2015-03-19
2016;BIHUN CAP CAY SEAFOOD;BHN CCY SF (S);30000;Y;N;Y;System;System;2015-03-19;2015-03-19
2017;KWETIAU GORENG;KWTIAU GR (S);28000;Y;N;Y;System;System;2015-03-19;2015-03-19
2018;KWETIAU GORENG SEAFOOD;KWTIAU GR SF (S);30000;Y;N;Y;System;System;2015-03-19;2015-03-19
2019;KWETIAU GORENG UDANG;KWTIAU GR UDG (S);28000;Y;N;Y;System;System;2015-03-19;2015-03-19
2020;KWETIAU MASAK;KWTIAU MSK (S);30000;Y;N;Y;System;System;2015-03-19;2015-03-19
2021;KWETIAU MASAK SEAFOOD;KWTIAU MSK SF (S);31000;Y;N;Y;System;System;2015-03-19;2015-03-19
2022;KWETIAU CAP CAY;KWTIAU CCY (S);29000;Y;N;Y;System;System;2015-03-19;2015-03-19
2023;KWETIAU CAP CAY SEAFOOD;KWTIAU CCY SF (S);31000;Y;N;Y;System;System;2015-03-19;2015-03-19
2024;KWETIAU SIRAM;KWTIAU SRM (S);29000;Y;N;Y;System;System;2015-03-19;2015-03-19
2025;NASI PUTIH;NS (S);3000;Y;N;Y;System;System;2015-03-19;2015-03-19
2026;NASI CAP CAY (CAMPUR);NS CCY (S);28000;Y;N;Y;System;System;2015-03-19;2015-03-19
2027;NASI CAP CAY SEAFOOD;NS CCY SF (S);30000;Y;N;Y;System;System;2015-03-19;2015-03-19
2028;NASI GORENG;NS GRG (S);25000;Y;N;Y;System;System;2015-03-19;2015-03-19
2029;NASI GORENG TELOR;NS GRG TLR (S);20000;Y;N;Y;System;System;2015-03-19;2015-03-19
